id,title,estimate_player,url,price,discount,popularity
431240,"Golf With Your Friends",2271522,https://steampricehistory.com/app/431240,14.99,0.0,"26,534"
35140,"Batman: Arkham Asylum Game of the Year Edition",2240464,https://steampricehistory.com/app/35140,19.99,0.0,"19,846"
268500,"XCOM 2",2222475,https://steampricehistory.com/app/268500,4.8,-92%,"42,952"
262060,"Darkest Dungeon",2214527,https://steampricehistory.com/app/262060,24.99,0.0,"75,869"
34030,"Napoleon: Total War",2178916,https://steampricehistory.com/app/34030,24.99,0.0,"8,656"
261640,"Borderlands: The Pre-Sequel",2176285,https://steampricehistory.com/app/261640,11.99,-70%,"24,086"
113020,"Monaco: What's Yours Is Mine",2153213,https://steampricehistory.com/app/113020,14.99,0.0,"3,631"
360170,"How to Survive 2",2150505,https://steampricehistory.com/app/360170,14.99,0.0,"7,793"
242920,Banished,2147445,https://steampricehistory.com/app/242920,19.99,0.0,"30,314"
91600,Sanctum,2088528,https://steampricehistory.com/app/91600,9.99,0.0,"1,782"
364360,"Total War: WARHAMMER",2085605,https://steampricehistory.com/app/364360,59.99,0.0,"27,880"
41070,"Serious Sam 3: BFE",2029621,https://steampricehistory.com/app/41070,39.99,0.0,"16,437"
286690,"Metro 2033 Redux",2025648,https://steampricehistory.com/app/286690,19.99,0.0,"45,260"
674940,"Stick Fight: The Game",2007237,https://steampricehistory.com/app/674940,4.99,0.0,"55,115"
246620,"Plague Inc: Evolved",2002770,https://steampricehistory.com/app/246620,14.99,0.0,"33,391"
57690,"Tropico 4",2000449,https://steampricehistory.com/app/57690,14.99,0.0,"7,119"
4920,"Natural Selection 2",1993899,https://steampricehistory.com/app/4920,9.99,0.0,"7,513"
236850,"Europa Universalis IV",1983657,https://steampricehistory.com/app/236850,39.99,0.0,"60,429"
281990,Stellaris,1967015,https://steampricehistory.com/app/281990,9.99,-75%,"69,352"
223470,"POSTAL 2",1911217,https://steampricehistory.com/app/223470,9.99,0.0,"46,204"
233720,"Surgeon Simulator",1879150,https://steampricehistory.com/app/233720,9.99,0.0,"11,799"
