id,year,review_score,total_positive,total_negative,total_reviews,Players
402340,2016,8,67,8,75,5735
402430,2016,8,556,47,603,66375
402530,2016,8,270,16,286,21984
402560,2016,5,344,274,618,263899
402570,2016,8,3555,788,4343,707718
402750,2016,5,164,72,236,22438
402880,2016,6,285,77,362,11997
403290,2016,6,90,24,114,3779
403400,2016,6,126,36,162,33672
403430,2016,8,202,34,236,45606
403590,2016,4,57,95,152,5920
403640,2016,8,17614,4161,21775,1127089
403940,2016,8,313,64,377,23784
403970,2016,6,683,197,880,43647
404180,2016,8,77,18,95,14066
404510,2016,8,52,10,62,7893
404620,2016,6,456,140,596,63353
404640,2016,5,115,103,218,27929
404700,2016,8,104,19,123,18105
404770,2016,5,191,112,303,71631
404820,2016,8,129,13,142,13624
405000,2016,8,96,12,108,5258
405310,2016,8,1447,293,1740,211964
405440,2016,5,6,7,13,22252
405500,2016,5,228,276,504,47177
405540,2016,7,37,9,46,3265
405550,2016,7,36,5,41,4574
405640,2016,9,8094,348,8442,334799
405720,2016,6,62,20,82,6952
405760,2016,6,41,17,58,6853
405900,2016,8,1900,248,2148,169503
405960,2016,5,21,19,40,1247
405970,2016,8,124,26,150,16515
406120,2016,5,9,6,15,5458
406170,2016,5,191,128,319,14230
406220,2016,8,46,9,55,3489
406290,2016,8,677,101,778,68306
406310,2016,5,101,57,158,14836
406550,2016,8,236,5,241,9133
406720,2016,5,145,88,233,8234
406850,2016,8,210,39,249,21939
406870,2016,8,368,17,385,34880
406940,2016,6,132,50,182,7918
406970,2016,8,745,165,910,33684
407330,2016,8,814,67,881,107936
407340,2016,8,73,4,77,3453
407560,2016,6,564,236,800,55427
407780,2016,8,173,22,195,10327
407810,2016,8,566,114,680,59432
407830,2016,4,5,9,14,1472
407840,2016,5,1868,1468,3336,275847
407880,2016,8,87,5,92,10469
407940,2016,8,69,2,71,21745
408110,2016,8,91,19,110,61839
408250,2016,5,116,52,168,13642
408640,2016,5,114,75,189,14198
408650,2016,8,304,22,326,10727
408760,2016,5,172,120,292,48819
408920,2016,5,105,62,167,6832
408960,2016,8,99,23,122,5469
409000,2016,5,134,71,205,10748
409040,2016,5,28,14,42,2742
409290,2016,5,29,15,44,6555
409320,2016,5,117,54,171,4934
409340,2016,5,67,33,100,11451
409390,2016,6,35,14,49,3361
409460,2016,5,19,9,28,904
409520,2016,5,31,15,46,1722
409560,2016,6,65,17,82,10654
409660,2016,8,445,47,492,22630
409710,2016,5,6304,4186,10490,1289273
409730,2016,8,83,19,102,12776
409870,2016,8,179,9,188,24630
409890,2016,6,217,87,304,26902
410000,2016,7,11,2,13,606
410320,2016,9,3170,132,3302,202538
410570,2016,8,137,33,170,19101
410820,2016,8,351,19,370,35368
411130,2016,5,30,22,52,912
411370,2016,8,933,80,1013,81464
411600,2016,5,33,20,53,2826
411610,2016,7,33,5,38,5261
411620,2016,5,20,13,33,2290
411750,2016,6,31,9,40,2172
411830,2016,9,2633,132,2765,120376
411960,2016,9,1491,16,1507,60953
412400,2016,1,248,1006,1254,101100
412450,2016,5,907,634,1541,15180
412460,2016,5,133,124,257,16973
412490,2016,5,20,9,29,6902
412540,2016,6,16,6,22,5642
