id,category,genre
45740,"2,1,9,22,29,18,23","1,25"
240760,"2,22,13,18,23","25,23,3,2"
214870,"2,1,9,24,22,29,30,18,23,25,17,44",1
266510,"2,22,28,29,23,25,43","1,23,3"
58610,"2,1,49,36,9,38,22,8","23,28,2"
264140,"2,22,29","25,23,3,28"
253030,"2,22,28,29,30,23,15,25,17,41,42,43","1,23,9"
40700,"2,22,28,29,23,25,43","25,23"
208200,"2,1,22,18,25",1
249990,"2,1,49,36,37,9,38,39,24,27,22,28,29,23,25,44","1,25,23,3"
49600,"2,1,9,24,27,22,28,29,23,25,44","1,4,23"
247000,"2,1,49,36,37,24,27,22,28,29,23,25,41,42,43,44","23,3,2"
223100,"2,1,9,22,28,29,13,15,43","1,25"
350080,"2,22,18,23,25",1
448510,"2,1,49,37,9,39,24,22,28,29,23,41,42,43,44","1,4,23,28"
218640,"2,22,28,29,23","73,74,1,25,23"
462780,"2,22,28,29,23,41,42,43","1,25,3"
362890,"2,1,49,36,27,22,29,13,30,18,23,17,16,41,42","1,25,23"
232050,"2,1,9,39,22,29,23,44","23,3,2"
257850,"2,1,49,37,9,39,22,28,29,41,42,43,44","1,25,23,3"
268870,"2,1,49,36,47,9,38,48,27,22,29,23,25","1,23,2"
297000,"2,1,22,17,42","3,2"
220260,"2,1,9,22,29,18,23","4,28"
200900,"2,22,18","1,25,23"
274920,"22,29,30","51,58"
228300,"2,22,28,29,23,43","1,25"
236150,"2,22,29,30,18,23","1,3,28"
262280,"2,1,27,22,29,18,23","3,28,2"
250760,"2,1,49,37,9,39,24,22,28,29,23,41,42,43,44","1,25,23"
288470,"2,22,28,29,30,23,41,42,43",3
214510,"2,24,22,28,23,41,42,43,44","1,25"
220780,"2,22,28,43",23
39150,"2,22,18,23,41,42",3
224480,"2,1,24,22,28,29,30,23,17,41,42,43,44","1,25,23"
327890,"2,22,28,29,23,25,43","1,25,23,28"
368360,"2,22,29,18,23","25,4,23,28,2"
333600,"2,22,29,23,41,42","4,23"
384190,"2,22,28,29","1,25,4,23,28"
227100,"2,1,9,22,29,18,23,8,25",1
386070,"2,1,49,36,47,9,38,48,27,22","1,23,2"
359870,"2,22,29,18,23,41,42",3
91200,"2,22,28,29,23,25","1,23,2"
290340,"2,1,49,36,27,22,28,29,35,23,8,43","25,23,3,2"
385800,"2,22,29,23","4,23"
569480,"2,22,28,30,23,17,42","23,28,2"
362960,"2,22,29,23,42","25,3"
318600,"2,22,28,29,23,43","1,25,23"
388410,"2,22,28,29,23,25,41,42,43","1,25,3"
18500,"2,22,28,29,43","23,2"
265210,"2,1,9,24,22,28,23,44","74,23,28"
239200,"2,28,13,23,43,44","1,25,23"
98800,"2,22,29,30,15,25","4,23,3"
35130,"2,1,24,22,18,23,15,25,44","1,25"
612880,"2,22,28,23,43",1
248610,"2,1,9,38,27,22,29,30,23,17,44","1,23,28,2"
287980,"2,22,29,30,23,25,41,42","23,28,2"
261110,"2,22,28,29,23,25,43",1
420290,"1,49,36,9,38,18,41,42","1,4,23,2"
389730,"2,1,49,36,37,24,22,28,29,23,25,43,44","1,18"
394310,"2,22,29,13,23","23,3,2"
232430,"2,22,28,29,13,23,14,43","25,23"
214770,"2,1,24,22,28,29,30,23,25,41,42,43,44","1,25,23"
577800,"2,1,24,22,28,23,43,44","28,18"
571740,"2,1,49,36,37,22,30,18,23,25,17,41,42,44","4,23,28,18,70"
301910,"2,1,9,22,28,29,43",1
454650,"2,1,20,49,36,37,9,38,22,28,23,25","1,25,4,29"
290080,"1,9,22,29,15","1,23,3,28"
205950,"2,28,43",1
300550,"2,22,29,30,23,17","25,23,3,2"
263980,"2,22,28,29,23,15","1,25,23"
202750,"2,28,43","1,25"
316790,"2,22,28,29,23,14,43,44",25
223850,"22,29,25",57
233290,"2,22,28,29","1,25,3"
248390,"2,1,9,38,22,29,30,23,17","23,3,28,2"
496300,"2,22,28,29,23,41,42,43","23,28,2"
222480,"2,1,9,22,28,29,23,8","1,25"
385760,"2,1,24,22,28,23,43,44",18
271240,"2,1,49,36,9,38,27,22,29,30,18,23,15,17","23,28,2"
263060,"1,27,29,30,18,17","1,23"
282800,"2,1,49,36,9,38,22,29,30,18,23,8,15,25","23,2"
474750,"2,22,28,29","25,23,3,28"
210970,"2,22,13,18,23,41,42","25,23"
242680,"2,1,24,22,28,23,15,25,43,44","1,23,3"
645630,"2,22,29,30,18,23,15,17","9,28"
282140,"2,22,28,29,30,23,43,44","1,25,23"
285920,"2,1,49,36,9,38,22,29,30,18","1,23"
637650,"2,1,49,36,9,38,22,28,29,23,42",3
641990,"2,1,49,36,37,9,38,39,24,22,28,29,23,25,41,42,43,44","23,28,2"
70600,"2,1,24,22,18,23,15,25,44",2
242640,"2,22,28,29,23,43",1
247910,"2,1,9,22,29,18,23,25","1,25"
231160,"2,22,28,29,43","1,25,23"
410900,"2,1,49,36,47,9,38,48,22,29,13,30,23,25,17","1,23,2"
2820,"2,22,28,13,23","1,28,2"
648350,"2,22,28,29,23,43","28,2"
34900,"2,22,29",23
226860,"2,1,49,36,9,38,22,29,30,15","23,2"
270150,"2,1,49,36,47,9,38,48,27,22,29,30,18,23","1,23"
554620,"2,22,28,29,23","1,25"
644560,"2,22,29,23,41,42","25,23,3"
49540,"2,1,9,22,28,43",1
222940,"2,1,49,37,22,28,29,23,25,44",1
345180,"2,1,9,39,27,22,28,29,23,43,44","1,25,23,3"
234390,"2,22,28,29,23","1,23"
361280,"2,22,29,23","23,28,2"
253430,"2,1,49,36,9,38,22","73,1,25,23"
225420,"2,1,9,27,22,29,30","28,2"
28000,"2,1,9,22,25",1
233980,"2,1,9,22,29,18,23,17,42","1,23,3"
95400,"1,9,24,27,22,28,29,23,25,44","1,25,23"
678950,"2,1,49,36,37,24,22,28,29,23,41,42,43,44",1
204060,"2,22,23","25,23"
553640,"2,22,28,29,23,15","1,25,3"
302670,"2,1,49,36,9,38,22,29,30,35,18,23,15,25,17","1,23,28,2"
485610,"1,20,49,36,9,38,27,22,29,35",18
278360,"2,22,28,29,23","25,4,23"
347560,"2,22,28,29","25,23,3,70"
233470,"2,22,28","25,23,3"
230050,"2,22,29,25",23
460790,"2,22,28,29,23,41,42,43","1,25"
414340,"2,22,28,29,23,43","1,25,23"
274900,"2,1,49,36,37,9,38,39,24,27,22,28,29,30,17,44","1,4,23"
257350,"2,1,9,27,22,29,13,23","25,3"
232790,"2,28,29,23","25,4,23"
516750,"2,22,29,18,23","23,9,28,70"
289950,"2,1,9,38,27,22,29,30,18,23","4,28"
213610,"2,1,18,44",1
304240,"2,22,28,29,23,25","1,25"
94200,"2,1,49,37,9,39,24,22,28,15,25,44","1,23"
351970,"2,1,24,22,28,29,23,41,42,43,44",3
64000,"2,1,9,22,25,17",2
418240,"2,22,28,29,23,43","23,2"
282900,"2,22,28,29,23","3,2"
329430,"2,22,28,29,25","1,3,28"
263760,"2,22,29,30,18,15,25,17","1,23,28"
359050,"2,22,29,25","1,23,28"
