id,year,review_score,total_positive,total_negative,total_reviews,Players
224760,2013,8,9685,816,10501,1276275
224820,2013,9,1184,43,1227,126909
224860,2013,4,222,463,685,112755
224900,2012,5,293,212,505,241819
225080,2013,9,29593,1509,31102,1056557
225160,2013,8,1601,126,1727,278226
225260,2013,8,11241,748,11989,1235714
225360,2013,5,410,445,855,79909
225420,2013,5,1040,793,1833,451407
226620,2013,8,993,92,1085,122321
226720,2013,5,1441,909,2350,279675
226780,2013,5,35,41,76,9808
226820,2013,8,53,4,57,10960
227000,2012,9,1643,38,1681,83704
227020,2013,5,177,133,310,66332
227080,2013,8,2296,147,2443,127734
227100,2013,8,2962,391,3353,577105
227180,2013,5,1556,759,2315,359640
227200,2012,8,877,104,981,84676
227220,2013,8,1413,188,1601,193849
227300,2012,9,133355,3620,136975,5982548
227380,2013,6,288,75,363,50466
227400,2013,5,313,302,615,219519
227480,2013,6,1576,669,2245,322132
227580,2013,8,1481,172,1653,132502
227600,2013,8,1136,109,1245,123527
227800,2013,6,114,39,153,100395
228280,2013,8,3652,593,4245,745407
228300,2013,8,8042,1523,9565,587213
228320,2013,5,88,91,179,56578
228400,2013,5,2482,1772,4254,527228
228440,2013,6,131,53,184,60640
228960,2013,8,448,54,502,121166
229480,2013,8,694,160,854,169249
229520,2013,5,306,173,479,77010
229890,2013,8,61,12,73,22281
230050,2013,8,5099,665,5764,425947
230150,2013,6,219,86,305,64688
230650,2013,5,112,130,242,41411
230700,2013,8,1349,285,1634,193073
231020,2013,6,62,25,87,13973
231160,2013,9,5330,210,5540,484015
231310,2013,5,259,165,424,58523
231330,2013,6,1309,497,1806,252514
231430,2013,6,27036,8955,35991,4654955
231720,2013,4,118,232,350,46803
231740,2013,8,2148,395,2543,342008
231910,2013,8,312,78,390,56138
232050,2013,5,1187,582,1769,595663
232430,2013,6,11281,3367,14648,538219
232750,2013,6,1299,470,1769,191401
232770,1997,8,1965,436,2401,258861
232950,2013,5,309,323,632,110174
232970,2013,8,355,57,412,46979
233110,2013,4,58,90,148,19264
233130,2013,8,16645,1170,17815,1648323
233190,2013,8,678,123,801,131849
233210,2013,4,54,157,211,20857
233230,2013,6,1055,357,1412,107362
233310,2013,8,101,17,118,19579
233470,2013,8,4184,822,5006,431669
233510,2009,5,101,53,154,30085
233550,2013,8,1083,209,1292,89421
233700,2013,8,1003,149,1152,192814
233720,2013,8,10068,2097,12165,1879150
233740,2013,8,2031,258,2289,359935
233840,2013,6,1519,498,2017,840770
234080,2013,8,3425,805,4230,379043
234160,2013,8,425,70,495,133318
234290,2013,5,239,129,368,46491
234390,2013,8,2015,329,2344,453247
234490,2013,5,515,325,840,120088
234670,2013,8,7542,769,8311,671888
234710,2013,8,4157,735,4892,671540
234820,2013,6,169,70,239,9892
234900,2013,8,799,148,947,117410
234940,2013,6,899,279,1178,162206
235070,2013,5,128,102,230,12329
235250,2013,8,1214,155,1369,154250
235360,2013,6,634,190,824,94101
235720,2013,6,311,96,407,53469
235820,2013,8,476,94,570,66045
235980,2013,8,350,10,360,32924
236090,2013,9,14207,554,14761,943681
236290,2013,6,19,5,24,2893
236370,2013,5,4198,2715,6913,1140120
236390,2013,8,67266,16297,83563,9536732
236450,2013,9,5481,262,5743,1102937
236490,2013,5,16,12,28,5199
236730,2013,8,445,99,544,147089
236790,2013,4,136,464,600,49982
236850,2013,8,31870,6296,38166,1983657
237370,2013,6,252,106,358,14572
237430,2013,8,835,188,1023,130612
237470,2013,5,148,73,221,36396
237550,2013,5,157,130,287,34258
237630,2013,8,2897,462,3359,255766
237740,2013,8,2231,271,2502,137144
237760,2013,8,330,25,355,29074
238010,2013,8,10996,981,11977,1358070
238260,2013,6,2046,728,2774,555716
238280,2013,6,1028,359,1387,208032
238320,2013,9,38528,1565,40093,2813619
238430,2013,6,8427,3205,11632,1616994
238530,2013,8,340,31,371,37103
238630,2013,6,174,58,232,31943
238870,2013,2,59,341,400,36837
238890,2013,5,119,154,273,73154
238910,2013,6,623,203,826,215330
238960,2013,8,53700,4554,58254,7634137
239030,2013,9,21692,888,22580,2306775
239070,2013,8,4750,512,5262,957659
239090,2013,8,318,20,338,23969
239200,2013,5,3561,1832,5393,554955
239350,2013,8,7501,704,8205,906689
239660,2013,6,1543,393,1936,552866
239700,2013,8,425,65,490,38130
239720,2013,8,111,25,136,10365
239800,2013,8,1517,109,1626,118588
239820,2013,9,23837,1125,24962,1696896
240340,2013,8,72,7,79,6999
240360,2013,7,40,9,49,5436
240600,2013,6,359,136,495,46800
240660,2013,5,100,43,143,7998
241320,2013,8,885,60,945,84014
241410,2013,8,1066,120,1186,169190
241540,2013,8,14475,2620,17095,1083514
241600,2013,8,12925,803,13728,1479581
241720,2013,5,554,572,1126,119191
241910,2013,8,1161,144,1305,168319
242110,2013,5,192,139,331,138895
242530,2013,5,187,103,290,54172
242700,2013,8,7907,1259,9166,1279176
242780,2013,8,468,86,554,54814
242820,2013,8,3040,203,3243,136754
243200,2013,8,1165,117,1282,186812
243280,2013,6,145,39,184,26669
243450,2013,8,1094,251,1345,144452
243780,2013,6,583,173,756,142088
243800,2013,8,2232,342,2574,225513
243950,2013,6,1174,368,1542,265816
244050,2013,5,644,547,1191,202778
244070,2013,5,371,164,535,159001
244090,2013,5,195,109,304,126366
244690,2013,5,148,67,215,41186
244730,2013,8,1328,241,1569,201978
244810,2013,8,454,98,552,84629
244870,2013,8,2824,273,3097,192896
244890,2013,6,129,37,166,33398
245170,2013,8,12074,735,12809,1621794
245280,2013,8,3304,582,3886,242618
245470,2013,6,4074,1377,5451,688243
246300,2013,5,266,145,411,32036
246580,2013,8,2175,318,2493,244364
246840,2013,8,755,68,823,82615
246960,2013,8,245,47,292,66040
247020,2013,8,3916,208,4124,384598
247140,2013,8,526,50,576,51526
247240,2013,8,1588,356,1944,203278
247310,2013,5,34,49,83,18258
247370,2013,6,292,99,391,47605
247660,2013,5,1823,812,2635,149712
247870,2013,5,147,208,355,28391
247910,2013,8,2832,493,3325,485909
248190,2013,8,259,38,297,47072
248290,2013,5,211,93,304,27168
248410,2013,4,74,187,261,22483
248450,2013,5,133,75,208,21683
248470,2013,5,334,171,505,60783
248550,2013,8,792,88,880,72851
248630,2013,5,455,559,1014,55436
248650,2013,6,719,227,946,132320
248710,2013,4,179,433,612,39151
248730,2013,8,285,63,348,17686
248800,2013,6,585,173,758,30160
248820,2013,8,20449,1261,21710,1825993
248970,2013,8,484,79,563,36519
249130,2013,8,7658,548,8206,991243
249330,2013,8,1061,121,1182,142244
249360,2013,5,268,121,389,39750
